,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
2344,SteamWorld Dig,Platform,Image & Form,Image & Form,"Dec 3, 2014","Mar 19, 2014","Mar 18, 2014",
2345,SteamWorld Dig 2,Platform,Image & Form,Image & Form,Unreleased,"Sep 26, 2017","Sep 27, 2017",
2346,SteamWorld Heist,"Adventure, platform",Image & Form,Image & Form,Unreleased,"Jun 8, 2016","Jun 7, 2016",
2347,Steep,Sports,Ubisoft Annecy,Ubisoft,"Dec 2, 2016","Dec 2, 2016","Dec 2, 2016",P
2348,Steins;Gate 0,Visual novel,5pb.,5pb.,"Dec 10, 2015","Nov 25, 2016","Nov 29, 2016",
2349,Steins;Gate Elite,Visual novel,5pb.,5pb.,"Sep 20, 2018","Feb 19, 2019","Feb 19, 2019",
2350,Steins;Gate: My Darling's Embrace,Visual novel,5pb.,Spike Chunsoft,Unreleased,"Dec 10, 2019","Dec 10, 2019",
2351,Stellaris,"4X
real-time strategy",Tantalus Media,Paradox Interactive,"Aug 27, 2020","Feb 26, 2019","Feb 26, 2019",
2352,Stellatum,Shoot 'em up,Satur Entertainment,Sometimes You,Unreleased,"Oct 9, 2019","Oct 9, 2019",
2353,Steredenn,Shooter,Pixelnest Studio,Plug In Digital,"Oct 28, 2016","Jun 28, 2016","Jun 28, 2016",
2354,Steven Universe: Save the Light,Role-playing,Grumpyface Studios,Cartoon Network,Unreleased,"Oct 31, 2017","Oct 31, 2017",
2355,Stick It to the Man!,Platform,Zoink Games,Ripstone Games,"Jul 16, 2014","Apr 30, 2014","Apr 30, 2014",
2356,Stifled,"Adventure, horror",Gattai Games,Gattai Games,"Jul 5, 2018","Oct 31, 2017","Oct 31, 2017",VR
2357,Stikbold! A Dodgeball Adventure,"Fighting
sports",Game Swing,Reign Bros,Unreleased,"Apr 5, 2016","Apr 5, 2016",
2358,Storm Boy,"Adventure
role-playing",Blowfish Studios,Level 77,Unreleased,"Nov 20, 2018","Nov 21, 2018",
2359,Stories: The Path of Destinies,Action role-playing,Spearhead Games,Spearhead Games,Unreleased,"Apr 12, 2016","Apr 12, 2016",
2360,Stories Untold,"Adventure
horror",No Code,Devolver Digital,"Oct 26, 2020","Oct 27, 2020","Oct 27, 2020",
2361,Strafe,First-person shooter,Pixel Titans,Devolver Digital,Unreleased,"May 9, 2017","May 9, 2017",
2362,Straimium Immortaly,"Shoot 'em up
roguelike","Anthony Case
Caiysware",Digerati,Unreleased,"Dec 18, 2019","Dec 17, 2019",
2363,Stranded Deep,Survival,Beam Team Games,Beam Team Games,Unreleased,"Apr 21, 2020","Apr 21, 2020",
2364,Stranded Sails: Explorers of the Cursed Islands,Role-playing,Lemonbomb Games,"Merge Games
Rokapublish","Nov 7, 2019","Oct 17, 2019","Oct 17, 2019",
2365,Strange Brigade,Action-adventure,Rebellion,505 Games,Unreleased,"Aug 28, 2018","Aug 28, 2018",P
2366,Stranger Things 3: The Game,Action-adventure,Bonus XP,Bonus XP,"Aug 21, 2019","Jul 4, 2019","Jul 4, 2019",
2367,Stray,Adventure,BlueTwelve,Annapurna Interactive,2021,2021,2021,
2368,Street Fighter 30th Anniversary Collection,Fighting,Capcom,Capcom,"Oct 25, 2018","May 29, 2018","May 29, 2018",
2369,Street Fighter V,Fighting,"Capcom
Dimps",Capcom,"Feb 16, 2016","Feb 16, 2016","Feb 16, 2016",CP
2370,Street Fighter V: Arcade Edition,Fighting,"Capcom
Dimps",Capcom,"Jan 16, 2018","Jan 19, 2018","Jan 16, 2018",CP
2371,Streets of Rage 4,Beat 'em up,"Lizardcube
Guard Crush Games
Sega",DotEmu,"Apr 30, 2020","Apr 30, 2020","Apr 30, 2020",
2372,Streets of Rogue,Role-playing,Matt Dabrowski,tinyBuild,Unreleased,"Jul 12, 2019","Jul 12, 2019",
2373,Strider,"Action-adventure
platform",Double Helix Games,Capcom,"Feb 22, 2014","Feb 19, 2014","Feb 18, 2014",
2374,Strike Suit Zero,Space combat,Born Ready Games,Born Ready Games,Unreleased,"Apr 4, 2014","Apr 4, 2014",
2375,Strike Vector EX,"Mech-combat
shooter",Ragequit Corporation,Ragequit Corporation,Unreleased,"Aug 30, 2016","Aug 30, 2016",
2376,Styx: Master of Shadows,Stealth,Cyanide,Focus Home Interactive,Unreleased,"Oct 7, 2014","Oct 7, 2014",
2377,Styx: Shards of Darkness,Stealth,Cyanide,Focus Home Interactive,"Dec 14, 2017","Mar 14, 2017","Mar 14, 2017",
2378,Sublevel Zero Redux,Shooter,Sigtrap Games,Merge Games,Unreleased,"Mar 8, 2017","Mar 7, 2017",
2379,Submerged,Adventure,Uppercut Games,Uppercut Games,"Jul 12, 2016","Aug 5, 2015","Aug 4, 2015",
2380,Subnautica,"Action-adventure
survival",Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Mar 19, 2020","Dec 4, 2018","Dec 4, 2018",P
2381,Subnautica: Below Zero,"Action-adventure
survival",Unknown Worlds Entertainment,Unknown Worlds Entertainment,TBA,TBA,TBA,
2382,Subterrain,"Action, survival",Pixellore,Pixellore,"Jan 27, 2017","Jan 27, 2017","Jan 27, 2017",
2383,Sudden Strike 4,Real-time strategy,Kite Games,Kalypso Media,"Nov 9, 2017","Aug 11, 2017","Aug 15, 2017",P
2384,Summer in Mara,Adventure,Chibig Studio,Chibig Studio,Unreleased,TBA,TBA,
