,Title,Genre,Developer,Publisher,Release date JP,Release date EU,Release date NA,Addons
761,EarthNight,"Action
platform",Cleaversoft,"WW: Cleaversoft
JP: Intragames","Oct 1, 2020","Dec 3, 2019","Jan 23, 2020",
762,EA Sports UFC,"Fighting
sports",EA Canada,Electronic Arts,"Nov 20, 2014","Jun 17, 2014","Jun 17, 2014",
763,EA Sports UFC 2,"Fighting
sports",EA Canada,Electronic Arts,"Aug 30, 2016","Mar 17, 2016","Mar 15, 2016",
764,EA Sports UFC 3,"Fighting
sports",EA Canada,Electronic Arts,"Feb 2, 2018","Feb 2, 2018","Feb 2, 2018",
765,EA Sports UFC 4,"Fighting
sports",EA Canada,Electronic Arts,"Aug 14, 2020","Aug 14, 2020","Aug 14, 2020",
766,Eastshade,Adventure,Eastshade Studios,Eastshade Studios,Unreleased,"Oct 29, 2019","Oct 21, 2019",
767,eBaseball Powerful Pro Yakyuu 2020,Sports,Konami,Konami,"Jul 9, 2020",Unreleased,Unreleased,P VR
768,Echo,"Action
stealth",Ultra Ultra,Ultra Ultra,Unreleased,"Oct 11, 2017","Oct 11, 2017",
769,Edge of Eternity,Role-playing,Midgar Studio,Midgar Studio,Unreleased,2021,2021,
770,Edna & Harvey: Harvey's New Eyes,Point & click adventure,Daedalic Entertainment,Daedalic Entertainment,Unreleased,"Aug 14, 2019","Aug 14, 2019",
771,Edna & Harvey: The Breakout,Point & click adventure,Daedalic Entertainment,Daedalic Entertainment,Unreleased,"Jun 17, 2020","Jun 17, 2020",
772,Effie,"Action-adventure
platform",Inverge Studios,Inverge Studios,Unreleased,"Jun 4, 2019","Jun 4, 2019",
773,eFootball Pro Evolution Soccer 2020,Sports,PES Productions,Konami,"Sep 10, 2019","Sep 10, 2019","Sep 10, 2019",
774,eFootball PES 2021 Season Update,Sports,PES Productions,Konami,"Sep 17, 2020","Sep 15, 2020","Sep 15, 2020",
775,Eitr,Action role-playing,Eneme Entertainment,Devolver Digital,Unreleased,TBA,TBA,
776,Eiyuden Chronicle: Hundred Heroes,Japanese role-playing,Rabbit & Bear Studios,Rabbit & Bear Studios,TBA,TBA,TBA,
777,Elden Ring,Action role-playing,FromSoftware,Bandai Namco,TBA,TBA,TBA,
778,The Elder Scrolls Online,MMORPG,ZeniMax Online Studios,Bethesda Softworks,"Jun 9, 2015","Jun 9, 2015","Jun 9, 2015",P
779,The Elder Scrolls V: Skyrim – Special Edition,Action role-playing,Bethesda Game Studios,Bethesda Softworks,"Oct 28, 2016","Oct 28, 2016","Oct 28, 2016",P VR
780,Electronic Super Joy,Platform,Michael Todd Games,Loot Interactive,Unreleased,"Jun 21, 2016","Jun 21, 2016",
781,Electronic Super Joy 2,Platform,Michael Todd Games,Severed Press,Unreleased,"Oct 1, 2020","Oct 1, 2020",
782,ELEX,Action role-playing,Piranha Bytes,Nordic Games,Unreleased,"Oct 17, 2017","Oct 17, 2017",
783,Elliot Quest,"Platform-adventure, metroidvania",Ansimuz Games,Ansimuz Games,"May 11, 2017","May 11, 2017","May 11, 2017",
784,Elite: Dangerous,Space trading and combat,Frontier Developments,Frontier Developments,Unreleased,"Jun 27, 2017","Jun 27, 2017",P
785,Embers of Mirrim,Platformer,Creative Bytes,Creative Bytes,Unreleased,"May 23, 2017","May 23, 2017",
786,Emily Wants to Play,Survival horror,Shawn Hitchcock,SKH Apps,"Feb 9, 2017","Aug 9, 2016","Aug 9, 2016",
787,Empire of Sin,"Role-playing
strategy",Romero Games,Paradox Interactive,"Dec 1, 2020","Dec 1, 2020","Dec 1, 2020",
788,Enchanted Portals,"Shoot 'em up
run and gun",Xixo Game Studio,Xixo Game Studio,TBA,TBA,TBA,
789,The End Is Nigh,"Adventure, platform",Edmund McMillen,Nicalis,Unreleased,"Apr 30, 2019","Apr 30, 2019",
790,Endless Fables: Dark Moor,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Jun 16, 2020","Jun 16, 2020",
791,Energy Hook,Action-adventure,Happion Labs,Happion Labs,Unreleased,"Jul 5, 2016","Jul 5, 2016",
792,Enigmatis: The Ghosts of Maple Creek,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Jan 24, 2017","Jan 24, 2017",
793,Enigmatis 2: The Mists of Ravenwood,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"May 30, 2017","May 30, 2017",
794,Enigmatis 3: The Shadow of Karkhala,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Apr 6, 2018","Apr 6, 2018",
795,Enter the Gungeon,"Bullet hell
roguelike",Dodge Roll,Devolver Digital,"Apr 20, 2016","Apr 5, 2016","Apr 5, 2016",
796,Entwined,Action-adventure,Pixelopus,Sony Computer Entertainment,"Jun 19, 2014","Jun 9, 2014","Jun 9, 2014",
797,Epic Astro Story,Simulation,Kairosoft,Kairosoft,"Oct 29, 2020",Unreleased,Unreleased,
798,Erica,Interactive drama,Flavourworks,Sony Interactive Entertainment,Unreleased,"Aug 20, 2019","Aug 20, 2019",PL
799,Escape Plan,Puzzle,Fun Bits Interactive,Sony Computer Entertainment,"Feb 22, 2014","Nov 29, 2013","Dec 3, 2013",
800,Escape Goat 2,"Platform, puzzle",MagicalTimeBean,Double Fine Productions,Unreleased,"Nov 26, 2014","Oct 21, 2014",
801,"<span data-sort-value=""Escapists !"">The Escapists","Strategy
role-playing",Mouldy Toof Studios,Team17,Unreleased,"May 29, 2015","Jun 2, 2015",
802,"<span data-sort-value=""Escapists 2 !"">The Escapists 2","Strategy
role-playing",Mouldy Toof Studios,Team17,Unreleased,"Aug 22, 2017","Aug 22, 2017",
803,"<span data-sort-value=""Escapists Walking Dead !"">The Escapists: The Walking Dead","Strategy
role-playing",Mouldy Toof Studios,Team17,Unreleased,"Feb 16, 2016","Feb 16, 2016",
804,ESP Ra.De. Psy,Shoot 'em up,"Cave
M2",M2,"Dec 19, 2019",Unreleased,Unreleased,
805,ESports Life Tycoon,Simulation,U-Play Online,Raiser Games,Unreleased,"Nov 12, 2020","Nov 12, 2020",
806,Ether One,"Adventure, puzzle",White Paper Games,White Paper Games,Unreleased,"May 5, 2015","May 5, 2015",
807,Etherborn,Platformer,Altered Matter,Altered Matter,"Oct 3, 2019","Jul 18, 2019","Jul 18, 2019",
808,Euro Fishing,Simulation,Dovetail Games,Dovetail Games,Unreleased,"Apr 11, 2017","Apr 11, 2017",
809,Evan's Remains,Puzzle adventure,Matías Schmied,Whitethorn Digital,Unreleased,"Jul 31, 2020","Jun 11, 2020",
810,Eve: Valkyrie - Warzone,Space Shooter,CCP Games,CCP Games,Unreleased,"Sep 26, 2017","Sep 26, 2017",CP VR
811,Even the Ocean,"Action-adventure
platform",Analgesic Productions,Ratalaika Games,Unreleased,"Aug 19, 2020","Aug 18, 2020",
812,Eventide: Slavic Fable,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Apr 25, 2017","Apr 25, 2017",
813,Eventide 2: Sorcerer's Mirror,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Sep 26, 2017","Sep 26, 2017",
814,Eventide 3: Legacy of Legends,"Puzzle
hidden object",Artifex Mundi,Artifex Mundi,Unreleased,"Jun 29, 2018","Jun 29, 2018",
815,Everspace,Shooter,Rockfish Games,BadLand Games,"Feb 13, 2019","May 29, 2018","May 29, 2018",P
816,Everspace 2,Shooter,Rockfish Games,BadLand Games,Unreleased,2021,2021,P
817,Everybody's Golf,Sports,Clap Hanz,Sony Computer Entertainment,"Aug 31, 2017","Aug 30, 2017","Aug 29, 2017",P
818,Everybody's Gone to the Rapture,Adventure,The Chinese Room,Sony Computer Entertainment,"Aug 11, 2015","Aug 11, 2015","Aug 11, 2015",
819,Everything,Adventure,David OReilly,Double Fine Productions,"Feb 13, 2020","Mar 21, 2017","Mar 21, 2017",
820,The Evil Within,Survival horror,Tango Gameworks,Bethesda Softworks,"Oct 23, 2014","Oct 17, 2014","Oct 14, 2014",
821,The Evil Within 2,Survival horror,Tango Gameworks,Bethesda Softworks,"Oct 19, 2017","Oct 13, 2017","Oct 13, 2017",P
822,Evolve,First-person shooter,Turtle Rock Studios,2K Games,"Mar 5, 2015","Feb 10, 2015","Feb 10, 2015",
823,Evotinction,Action-adventure,Spikewave Games,Spikewave Games,TBA,TBA,TBA,
824,Exception,"Action
platform",Traxmaster Software,Traxmaster Software,Unreleased,"Aug 13, 2019","Aug 14, 2019",
825,Exile's End,Action,Magnetic Realms,Xseed Games,Unreleased,"Oct 26, 2016","Oct 25, 2016",
826,Exist Archive,Role-playing,Tri-Ace,Spike Chunsoft,"Dec 17, 2015","Oct 18, 2016","Oct 18, 2016",
827,Extinction,Action-adventure,Iron Galaxy Studios,Maximum Games,Unreleased,"Apr 10, 2018","Apr 10, 2018",
828,F1 2015,Racing,Codemasters,Codemasters,"Jul 30, 2015","Jun 10, 2015","Jun 21, 2015",
829,F1 2016,Racing,Codemasters,Codemasters,"Aug 19, 2016","Aug 19, 2016","Aug 19, 2016",
830,F1 2017,Racing,Codemasters,Codemasters,"Aug 25, 2017","Aug 25, 2017","Aug 25, 2017",P
831,F1 2018,Racing,Codemasters,Codemasters,"Aug 24, 2018","Aug 24, 2018","Aug 24, 2018",P
832,F1 2019,Racing,Codemasters,Codemasters,"Jun 28, 2019","Jun 28, 2019","Jun 28, 2019",P
833,F1 2020,Racing,Codemasters,Codemasters,"Jul 10, 2020","Jul 10, 2020","Jul 10, 2020",P
834,Faeria,"Collectible card
turn-based strategy",Abrakam,Versus Evil,Unreleased,"Nov 3, 2020","Nov 3, 2020",CP
835,Fairy Fencer F: Advent Dark Force,Japanese role-playing,Compile Heart,Idea Factory,"Nov 5, 2015","Jul 29, 2016","Jul 26, 2016",
836,Fairy Tail,Role-playing,Gust Co. Ltd.,Koei Tecmo,"Jul 30, 2020","Jul 30, 2020","Jul 31, 2020",
837,The Fall,"Action-adventure
platform",Over the Moon,Over the Moon,Unreleased,"Jul 14, 2015","Jul 14, 2015",
838,The Fall Part 2: Unbound,"Action-adventure
platform",Over the Moon,Over the Moon,Unreleased,"Feb 13, 2018","Feb 13, 2018",
839,Fall Guys: Ultimate Knockout,"Battle royale
obstacle racing",Mediatonic,Devolver Digital,"Aug 4, 2020","Aug 4, 2020","Aug 4, 2020",CP P
840,Fallen Legion: Revenants,Action role-playing,Yummy Yummy Tummy,NIS America,TBA,"Feb 16, 2021","Feb 19, 2021",
841,Fallen Legion: Sins of an Empire,Action role-playing,Yummy Yummy Tummy,Acttil,"Jan 31, 2018","Jul 25, 2017","Jul 25, 2017",
842,Fallout 4,Action role-playing,Bethesda Game Studios,Bethesda Softworks,"Dec 17, 2015","Nov 10, 2015","Nov 10, 2015",P
843,Fallout 76,Action role-playing,Bethesda Game Studios,Bethesda Softworks,"Nov 14, 2018","Nov 14, 2018","Nov 14, 2018",
844,Family Mysteries: Poisonous Promises,"Puzzle
hidden object",Brave Giant,Artifex Mundi,Unreleased,"Jul 31, 2020","Jul 31, 2020",
845,Fantasy General II,Turn-based strategy,Owned by Gravity,Slitherine Software,Unreleased,"Jul 31, 2020","Jul 31, 2020",
846,Far Cry 3 Classic,First-person shooter,Ubisoft Montreal,Ubisoft,Unreleased,"Jun 26, 2018","Jun 26, 2018",
847,Far Cry 4,First-person shooter,Ubisoft Montreal,Ubisoft,"Jan 22, 2015","Nov 20, 2014","Nov 18, 2014",
848,Far Cry 5,First-person shooter,Ubisoft Montreal,Ubisoft,"Mar 29, 2018","Mar 27, 2018","Mar 27, 2018",P
849,Far Cry 6,First-person shooter,Ubisoft Toronto,Ubisoft,"Feb 18, 2021","Feb 18, 2021","Feb 18, 2021",P
850,Far Cry Primal,Action-adventure,Ubisoft Montreal,Ubisoft,"Mar 24, 2016","Feb 23, 2016","Feb 23, 2016",
851,Far: Lone Sails,Adventure,Mr. Whale's Game Service,Mixtvision,"May 23, 2019","Apr 2, 2019","Apr 2, 2019",
852,Farming Simulator 15,Simulation,Giants Software,Focus Home Interactive,"Nov 26, 2015","May 21, 2015","May 19, 2015",
853,Farming Simulator 17,Simulation,Giants Software,Focus Home Interactive,"Mar 23, 2017","Oct 24, 2016","Oct 24, 2016",P
854,Farming Simulator 19,Simulation,Giants Software,Focus Home Interactive,"Feb 7, 2019","Nov 20, 2018","Nov 20, 2018",
855,Farm Together,"Simulation, strategy",Milkstone Studios,Milkstone Studios,Unreleased,"Feb 25, 2019","Feb 20, 2019",
856,Fast & Furious Crossroads,Racing,Slightly Mad Studios,Bandai Namco Entertainment,Unreleased,"Aug 7, 2020","Aug 7, 2020",
857,Fast Striker,Shoot 'em up,NGDEV,EastAsiaSoft,"Oct 19, 2018","Oct 17, 2018","Oct 16, 2018",
858,Fate/Extella Link,Action,Marvelous Interactive,Marvelous Interactive,"Jun 7, 2018","Mar 22, 2019","Mar 19, 2019",
859,Fate/Extella: The Umbral Star,Action,Marvelous,Marvelous,"Nov 10, 2016","Jan 20, 2017","Jan 17, 2017",P
860,Fat Princess Adventures,"Action-adv, hack and slash",Fun Bits Interactive,Sony Computer Entertainment,"Dec 5, 2015","Dec 5, 2015","Dec 5, 2015",
861,Fault Milestone One,Visual novel,Alice in Dissonance,Sekai Project,"May 29, 2020","May 22, 2020","May 22, 2020",
862,Fault Milestone Two Side: Above,Visual novel,Alice in Dissonance,Phoenixx,TBA,TBA,TBA,
863,Fault Milestone Two Side: Below,Visual novel,Alice in Dissonance,Sekai Project,TBA,TBA,TBA,
864,Fe,Adventure,Zoink,Electronic Arts,"Feb 16, 2018","Feb 16, 2018","Feb 16, 2018",P
865,Feist,"Platform, puzzle",Bits & Beasts,Finji Games,Unreleased,"Dec 16, 2016","Dec 13, 2016",
866,Felix the Reaper,Puzzle,Kong Orange,Daedalic Entertainment,Unreleased,"Oct 18, 2019","Oct 17, 2019",
867,Fell Seal: Arbiter's Mark,Tactical role-playing,6 Eyes Studio,1C Company,Unreleased,"Apr 30, 2019","Apr 30, 2019",
868,Fenix Furia,Platform,Green Lava Studios,Green Lava Studios,"Sep 16, 2016","Jun 7, 2016","Jun 7, 2016",
869,Feudal Alloy,Metroidvania,Attu Games,"JP: Rainy Frog
WW: Attu Games","Aug 1, 2019","May 16, 2019","May 14, 2019",
870,Fez,"Platform, puzzle",Polytron Corporation,Polytron Corporation,"Aug 20, 2014","Mar 26, 2014","Mar 25, 2014",3D
871,FIA European Truck Racing Championship,Racing,N-Racing,Bigben Interactive,"Oct 31, 2019","Aug 1, 2019","Sep 5, 2019",
872,Fibbage,"Party, trivia",Jackbox Games,Jackbox Games,Unreleased,Unreleased,"Sep 16, 2014",
873,FIFA 14,Sports,EA Canada,Electronic Arts,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",
874,FIFA 15,Sports,EA Canada,Electronic Arts,"Oct 9, 2014","Sep 23, 2014","Sep 25, 2014",
875,FIFA 16,Sports,EA Canada,Electronic Arts,"Oct 18, 2015","Sep 24, 2015","Sep 22, 2015",
876,FIFA 17,Sports,EA Canada,Electronic Arts,"Sep 29, 2016","Sep 29, 2016","Sep 27, 2016",P
877,FIFA 18,Sports,EA Canada,Electronic Arts,"Sep 29, 2017","Sep 29, 2017","Sep 29, 2017",P
878,FIFA 19,Sports,EA Vancouver,Electronic Arts,"Sep 28, 2018","Sep 28, 2018","Sep 28, 2018",
879,FIFA 20,Sports,EA Vancouver,Electronic Arts,"Sep 27, 2019","Sep 27, 2019","Sep 27, 2019",
880,FIFA 21,Sports,EA Vancouver,Electronic Arts,"Oct 9, 2020","Oct 9, 2020","Oct 9, 2020",
881,Fighting EX Layer,Fighting,Arika,Arika,"Jun 28, 2018","Jun 28, 2018","Jun 28, 2018",
882,Fight'N Rage,Fighting,"Seba Games Dev
BlitWorks",BlitWorks,"Sep 10, 2020","Dec 3, 2019","Dec 3, 2019",
883,Figment,"Adventure, puzzle",Bedtime Digital,Bedtime Digital,"Apr 25, 2019","May 14, 2019","May 14, 2019",
884,Filthy Lucre,"Action, stealth",Fabrik Games,Fabrik Games,Unreleased,"Sep 7, 2016","Sep 16, 2016",VR
885,Final Fantasy VII,Action role-playing,Square Enix,Square Enix,"Dec 6, 2015","Dec 5, 2015","Dec 5, 2015",
886,Final Fantasy VII Remake,Action role-playing,Square Enix,Square Enix,"Apr 10, 2020","Apr 10, 2020","Apr 10, 2020",P
887,Final Fantasy VIII Remastered,Action role-playing,Square Enix,Square Enix,"Sep 3, 2019","Sep 3, 2019","Sep 3, 2019",P
888,Final Fantasy IX,Action role-playing,Square Enix,Square Enix,"Sep 19, 2017","Sep 19, 2017","Sep 19, 2017",
889,Final Fantasy X/X-2 HD Remaster,Action role-playing,Square Enix,Square Enix,"May 14, 2015","May 15, 2015","May 12, 2015",P
890,Final Fantasy XII: The Zodiac Age,Action role-playing,Square Enix,Square Enix,"Jul 13, 2017","Jul 11, 2017","Jul 11, 2017",P
891,Final Fantasy XIV: A Realm Reborn,MMORPG,Square Enix,Square Enix,"Apr 14, 2014","Apr 14, 2014","Apr 14, 2014",CP VR
892,Final Fantasy XIV: Heavensward,MMORPG,Square Enix,Square Enix,"Jun 23, 2015","Jun 23, 2015","Jun 23, 2015",
893,Final Fantasy XIV: Stormblood,MMORPG,Square Enix,Square Enix,"Jun 20, 2017","Jun 20, 2017","Jun 20, 2017",
894,Final Fantasy XIV: Shadowbringers,MMORPG,Square Enix,Square Enix,"Jun 28, 2019","Jun 28, 2019","Jun 28, 2019",
895,Final Fantasy XV,Action role-playing,Square Enix,Square Enix,"Nov 29, 2016","Nov 29, 2016","Nov 29, 2016",P VR
896,Final Fantasy: Crystal Chronicles Remastered,Action role-playing,Square Enix,Square Enix,"Aug 27, 2020","Aug 27, 2020","Aug 27, 2020",CP
897,Final Fantasy Type-0 HD,Action role-playing,Square Enix,Square Enix,"Mar 19, 2015","Mar 20, 2015","Mar 17, 2015",
898,Final Horizon,Tower defense,Eiconic Games,Eiconic Games,"Jan 14, 2015","Dec 5, 2014","Dec 4, 2014",
899,The Final Station,Platform,Do My Best,TinyBuild,Unreleased,"Sep 6, 2016","Aug 30, 2016",
900,Fire Pro Wrestling World,Sports,Spike Chunsoft,Spike Chunsoft,"Aug 9, 2018","Sep 28, 2018","Aug 28, 2018",
901,Firewatch,Adventure,Campo Santo,Campo Santo,"Feb 9, 2016","Feb 9, 2016","Feb 9, 2016",P
902,Fishing: Barents Sea,Sports,Misc Games,Astragon,"Dec 25, 2019","Dec 13, 2019","Dec 13, 2019",
903,Fishing Sim World: Pro Tour,Simulation,Dovetail Games,Dovetail Games,Unreleased,"Sep 18, 2018","Sep 18, 2018",
904,F.I.S.T.: Forged in Shadow Torch,Action-adventure,TiGames,TiGames,TBA,TBA,TBA,
905,Fist of the North Star: Lost Paradise,Action-adventure,Sega CS1,Sega,"Mar 8, 2018","Oct 2, 2018","Oct 2, 2018",P
906,Five Dates,Interactive fiction,Good Gate Media,Wales Interactive,Unreleased,"Nov 17, 2020","Nov 17, 2020",
907,Five Nights at Freddy's,Survival horror,Clickteam,Steel Wool,Unreleased,"Nov 29, 2019","Nov 29, 2019",
908,Five Nights at Freddy's 2,Survival horror,Clickteam,Steel Wool,Unreleased,"Nov 29, 2019","Nov 29, 2019",
909,Five Nights at Freddy's 3,Survival horror,Clickteam,Steel Wool,Unreleased,"Nov 29, 2019","Nov 29, 2019",
910,Five Nights at Freddy's 4,Survival horror,Clickteam,Steel Wool,Unreleased,"Nov 29, 2019","Nov 29, 2019",
911,Five Nights at Freddy's: Help Wanted,Survival horror,Clickteam,Steel Wool,"Dec 20, 2019","May 28, 2019","May 28, 2019",VR
912,Five Nights at Freddy's: Security Breach,Survival horror,Steel Wool Studios,ScottGames,Unreleased,TBA,TBA,
913,Five Nights at Freddy's: Sister Location,Survival horror,Clickteam,Clickteam,Unreleased,"Jul 21, 2020","Jul 22, 2020",
914,The Flame in the Flood,"Roguelike, survival",The Molasses Flood,Curve Digital,"Jan 17, 2017","Jan 17, 2017","Jan 17, 2017",
915,Flame Over,Action,Laughing Jackal,Laughing Jackal,Unreleased,"Sep 16, 2015","Sep 15, 2015",
916,Flashback,Action-adventure,Microids,Microids,Unreleased,"Nov 20, 2018","Nov 20, 2018",
917,Flat Heroes,Action,Parallel Circles,Deck13,"Jan 14, 2020","Jan 14, 2020","Jan 14, 2020",
918,FlatOut 4: Total Insanity,Racing,Kylotonn,Strategy First,"Aug 31, 2017","Mar 17, 2017","Mar 17, 2017",P
919,Flinthook,"Action
platform",Tribute Games,Tribute Games,"Apr 14, 2017","Apr 14, 2017","Apr 14, 2017",
920,Flipper Mechanic,Simulation,SimFabric,SimFabric,Unreleased,2020,2020,
921,Flipping Death,Adventure,Zoink,Zoink,"Aug 7, 2018","Aug 7, 2018","Aug 7, 2018",
922,Flockers,Puzzle-platform,Team17,Team17,"Sep 19, 2014","Sep 19, 2014","Sep 23, 2014",
923,flOw,Life simulation,SuperVillain Studios,Sony Computer Entertainment,"Feb 22, 2014","Nov 29, 2013","Dec 17, 2013",
924,Flower,Adventure,Bluepoint Games,Sony Computer Entertainment,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",
925,Fluster Cluck,Party,Loot Interactive,Loot Interactive,"Oct 14, 2017","Oct 14, 2017","Oct 14, 2017",
926,"Football, Tactics & Glory","Sports
strategy
turn-based",Creoteam,Toplitz Productions,Unreleased,"Jan 22, 2020","Jan 22, 2020",
927,Forager,Adventure,HopFrog,Humble Bundle,"Jul 31, 2019","Jul 30, 2019","Jul 30, 2019",
928,Foreclosed,Shooter,Antab Studio,Merge Games,Unreleased,2021,2021,
929,For Honor,Adventure,Ubisoft Montreal,Ubisoft,"Feb 16, 2017","Feb 14, 2017","Feb 14, 2017",P
930,Forced,Action role-playing,BetaDwarf,BetaDwarf,"Feb 22, 2014","Nov 29, 2013","Nov 15, 2013",
931,The Forest,Survival adventure,SKS Games,SKS Games,"Nov 6, 2018","Nov 6, 2018","Nov 6, 2018",P
932,Forgotton Anne,Adventure,ThroughLine Games,Square Enix Collective,"Feb 28, 2019","May 15, 2018","May 15, 2018",
933,Forma.8,Action-adventure,MixedBag,MixedBag,"Sep 28, 2017","Feb 28, 2017","Feb 28, 2017",P
934,For the King,Action role-playing,IronOak Games,IronOak Games,Unreleased,"May 7, 2019","May 7, 2019",
935,Foul Play,"Action-adv, beat 'em up",Mediatonic,Devolver Digital,Unreleased,"Feb 23, 2016","Sep 1, 2015",
936,Four Sided Fantasy,"Platform, puzzle",Ludo Land,Serenity Forge,Unreleased,"Aug 31, 2016","Aug 30, 2016",
937,Fragments of Him,Adventure,Sassybot,Sassybot,Unreleased,"Sep 26, 2017","Sep 26, 2017",
938,Frane: Dragons' Odyssey,Action role-playing,Exe Create,Kemco,"Apr 5, 2019",Unreleased,"May 7, 2019",
939,Frantics,Party,NapNok Games,NapNok Games,Unreleased,"Mar 7, 2018","Mar 6, 2018",PL
940,Freedom Finger,Shoot 'em up,Wide Right Interactive,Wide Right Interactive,"Jul 22, 2020","Mar 24, 2020","Mar 24, 2020",
941,Freedom Planet,Platform,GalaxyTrail,GalaxyTrail,"Aug 30, 2018","Mar 21, 2017","Aug 25, 2017",
942,Friday the 13th: The Game,Survival horror,Gun Media,IllFonic,"Aug 2, 2018","May 26, 2017","May 26, 2017",
943,Frostpunk,"City-building
survival",11 Bit Studios,11 Bit Studios,"Feb 27, 2020","Oct 11, 2019","Oct 11, 2019",P
944,Full Metal Panic! Fight! Who Dares Wins,"Role-playing
strategy",B.B. Studio,Bandai Namco Entertainment,"May 31, 2018",Unreleased,Unreleased,
945,Full Mojo Rampage,Action role-playing,Over The Top Games,Nicalis,Unreleased,"Jun 28, 2016","Jun 28, 2016",
946,Full Throttle Remastered,Graphic adventure,Double Fine Productions,Double Fine Productions,Unreleased,"Apr 18, 2017","Apr 18, 2017",P
947,Furi,"Action, shoot 'em up",The Game Bakers,The Game Bakers,"Aug 3, 2016","Jul 5, 2016","Jul 5, 2016",
948,Fury Unleashed,"Action
platform",Awesome Games,Awesome Games,Unreleased,"May 8, 2020","May 8, 2020",
949,Fuser,Rhythm,Harmonix,NCSoft,Unreleased,"Nov 10, 2020","Nov 10, 2020",
950,Fushigi no Gensōkyō 3,Dōjin,Aqua Style,Mediascape,TBA,TBA,TBA,
951,Future Unfolding,"Adventure, puzzle",Spaces of Play,Spaces of Play,"May 16, 2017","May 16, 2017","May 16, 2017",
952,FutureGrind,Action,Milkbag Games,Milkbag Games,Unreleased,"Jan 22, 2019","Jan 22, 2019",
953,Futuridium EP Deluxe,"Shooter, puzzle",MixedBag,MixedBag,Unreleased,"Sep 30, 2014","Oct 1, 2014",VR
954,Gakuen,"Shoot'em up
visual novel",M2,M2,TBA,Unreleased,Unreleased,
955,Gal Gun: Double Peace,Rail shooter,Inti Creates,Alchemist,"Aug 6, 2015","Mar 11, 2016","Aug 2, 2016",
956,Gal Gun 2,Rail shooter,Inti Creates,Inti Creates,"Mar 15, 2018","Apr 13, 2018","Apr 24, 2018",
957,Gal Gunvolt,Rail shooter,Inti Creates,Inti Creates,"Aug 6, 2015",Unreleased,Unreleased,
958,Gal Gunvolt Burst,Rail shooter,Inti Creates,Inti Creates,"Mar 15, 2018","Apr 13, 2018","Mar 15, 2018",
959,Galacide,Shoot 'em up,Puny Human,Puny Human,Unreleased,Unreleased,"Oct 23, 2020",P
960,Galak-Z: The Dimensional,Shooter,17-Bit,17-Bit,"Aug 4, 2015","Aug 5, 2015","Aug 4, 2015",
961,Game Dev Story,Business simulation,Kairosoft,Kairosoft,"Dec 5, 2019",Unreleased,Unreleased,
962,Game of Thrones,Graphic adventure,Telltale Games,Telltale Games,Unreleased,"Dec 3, 2014","Dec 3, 2014",
963,Game Tengoku CruisnMix,"Arcade
shoot 'em up",City Connection,Degica,"Nov 30, 2017","Dec 5, 2018","Jul 26, 2018",
964,Ganbare! Super Strikers,Tactical role-playing,Ratalaika Games,Ratalaika Games,Unreleased,"Feb 26, 2020","Feb 25, 2020",
965,Gang Beasts,Party,Boneloaf Games,Double Fine Productions,Unreleased,"Dec 12, 2017","Dec 12, 2017",VR
966,The Gardens Between,Puzzle,The Voxel Agents,The Voxel Agents,"Sep 20, 2018","Sep 20, 2018","Sep 20, 2018",
967,Garfield Kart: Furious Racing,Kart racing,Artefact,Microïds,Unreleased,"Nov 5, 2019","Nov 5, 2019",
968,Garou: Mark of the Wolves,Fighting,Code Mystics,SNK Playmore,"Dec 3, 2016","Dec 3, 2016","Dec 3, 2016",CP
969,Gas Guzzlers Extreme,"Racing
vehicular combat",Gamepires,Iceberg Interactive,Unreleased,"Nov 26, 2019","Nov 26, 2019",
970,Gauntlet: Slayer Edition,Hack and slash,Arrowhead Studios,WB Games,Unreleased,"Aug 11, 2015","Aug 11, 2015",
971,Gekido: Kintaro's Revenge,Beat 'em up,NAPS team,NAPS team,Unreleased,"May 31, 2018","May 31, 2018",
972,Gemini: Heroes Reborn,Action-adventure,Phosphor Games,Phosphor Games,Unreleased,"Jan 27, 2016","Jan 26, 2016",
973,Gem Smashers,Puzzle,Frame Studios,Funbox Media,Unreleased,"Feb 24, 2017","Mar 3, 2017",
974,Generation Zero,Action,Avalanche Studios,Avalanche Studios,"Mar 26, 2019","Mar 26, 2019","Mar 26, 2019",P
975,Gensō No Rondo,2D arena fighter,Cube Type,PlayDoujin,"Jun 11, 2015",Unreleased,Unreleased,
976,Gensō Rōgoku no Kaleidoscope,Visual novel,07th Expansion,Entergram,"Dec 17, 2020",Unreleased,Unreleased,
977,Geometry Wars 3: Dimensions,Multidirectional shooter,Lucid Games,Sierra Entertainment,Unreleased,"Nov 25, 2014","Nov 25, 2014",
